Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_rise_time_raw;User_ID
63857257896039;386356;0;100;0,8;ddf0149910
63857257897988;388755;0;100;0,333333;ddf0149910
63857257907355;397754;0;100;0,733333;ddf0149910
63857257910072;400887;0;100;0,333333;ddf0149910
63857257910672;401621;0;100;0,133333;ddf0149910
63857257910972;402021;0;100;0,066667;ddf0149910
63857257911471;402487;0;100;0,066667;ddf0149910
63857257914138;404887;0;100;0,333333;ddf0149910
63857257916005;406821;0;100;0,266667;ddf0149910
63857257926405;416686;0;100;0,8;ddf0149910
63857257930871;421619;0;100;0,4;ddf0149910
63857257931371;422419;0;100;0,066667;ddf0149910
63857257934538;425286;0;100;0,4;ddf0149910
63857257935321;426218;0;100;0,266667;ddf0149910
63857257935737;426752;0;100;0,066667;ddf0149910
63857257941988;432884;0;100;0,2;ddf0149910
63857257942171;433218;0;100;0,066667;ddf0149910
63857257943604;433684;0;100;1;ddf0149910
63857257944404;435485;0;100;0,066667;ddf0149910
63857257945337;435685;0;100;0,733333;ddf0149910
63857257945837;436951;0;100;0,066667;ddf0149910
63857257946654;437684;0;100;0,066667;ddf0149910
63857257947054;437884;0;100;0,266667;ddf0149910
63857257947271;438284;0;100;0,133333;ddf0149910
63857257948488;439284;0;100;0,333333;ddf0149910
63857257949154;440018;0;100;0,266667;ddf0149910
63857257964137;455149;0;100;0,066667;ddf0149910
63857257967604;458149;0;100;0,533333;ddf0149910
63857257978770;469681;0;100;0,2;ddf0149910
63857257987020;477680;0;100;0,333333;ddf0149910
63857257990137;480880;0;100;0,333333;ddf0149910
63857257990337;481346;0;100;0,066667;ddf0149910
63857258038536;529408;1;100;0,2;ddf0149910
63857258043402;534275;1;100;0,266667;ddf0149910
63857258058935;549806;1;100;0,266667;ddf0149910
63857258065335;556339;1;100;0,133333;ddf0149910
63857258073568;564604;1;100;0,066667;ddf0149910
63857258082268;573070;1;100;0,333333;ddf0149910
63857258082785;573803;1;100;0,066667;ddf0149910
63857258083635;574671;1;100;0,066667;ddf0149910
63857258084935;575937;1;100;0,066667;ddf0149910
63857258092468;583536;1;100;0,066667;ddf0149910
63857258092768;583736;1;100;0,133333;ddf0149910
63857258092934;584003;1;100;0,066667;ddf0149910
63857258093168;584203;1;100;0,066667;ddf0149910
63857258104435;595335;1;100;0,2;ddf0149910
63857258104734;595668;1;100;0,133333;ddf0149910
63857258107635;598401;-1;100;0,4;ddf0149910
63857258131635;622532;2;100;0,2;ddf0149910
63857258134201;625132;2;100;0,2;ddf0149910
63857258142664;633598;2;100;0,2;ddf0149910
63857258144300;634997;2;100;0,466667;ddf0149910
63857258159555;650663;2;100;0,066667;ddf0149910
63857258163198;653995;2;100;0,266667;ddf0149910
63857258164190;655195;2;100;0,133333;ddf0149910
63857258171500;662395;2;100;0,266667;ddf0149910
63857258173232;664195;2;100;0,133333;ddf0149910
63857258176433;667061;2;100;0,466667;ddf0149910
63857258185631;676660;2;100;0,066667;ddf0149910
63857258185816;676860;2;100;0,066667;ddf0149910
63857258186800;677326;2;100;0,6;ddf0149910
63857258187099;678060;2;100;0,133333;ddf0149910
63857258189660;680393;2;100;0,333333;ddf0149910
63857258192427;683259;2;100;0,333333;ddf0149910
63857258213955;704590;3;100;0,466667;ddf0149910
63857258215384;705990;3;100;0,533333;ddf0149910
63857258216493;707457;3;100;0,2;ddf0149910
63857258232023;722922;-3;100;0,2;ddf0149910
63857258238994;729721;-3;100;0,4;ddf0149910
63857258251695;742787;4;100;0,066667;ddf0149910
63857258252699;743720;4;100;0,133333;ddf0149910
63857258272697;763518;4;100;0,333333;ddf0149910
63857258279165;770051;4;100;0,266667;ddf0149910
63857258323229;814246;5;100;0,133333;ddf0149910
63857258430656;921769;6;100;0,066667;ddf0149910
